typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20070101","2007","52","2007","40","AUT","Austria","M","Import","757","CHE","Switzerland","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","300","false","-1","N/A",,"false","300","false",,"false","963",,"963","0","true","false",
"C","A","20070101","2007","52","2007","40","AUT","Austria","M","Import","842","USA","USA","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","-1","N/A",,"false","100","false",,"false","1399",,"1399","0","true","false",
"C","A","20070101","2007","52","2007","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H2","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","750","false","-1","N/A",,"false","750","false",,"false","10345",,"10345","0","true","false",
"C","A","20070101","2007","52","2007","50","BGD","Bangladesh","M","Import","156","CHN","China","0","W00","World","H2","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","550","false","-1","N/A",,"false","550","false",,"false","6609",,"6609","0","true","false",
"C","A","20070101","2007","52","2007","50","BGD","Bangladesh","M","Import","699","IND","India","0","W00","World","H2","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200","false","-1","N/A",,"false","200","false",,"false","3735",,"3735","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1784853","false","-1","N/A",,"false","1784853","false",,"false","10817717",,"10817717","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","152","CHL","Chile","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1552985","false","-1","N/A",,"false","1552985","false",,"false","9224245",,"9224245","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","156","CHN","China","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43000","false","-1","N/A",,"false","43000","false",,"false","305083",,"305083","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","251","FRA","France","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10282","false","-1","N/A",,"false","10282","false",,"false","88858",,"88858","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","276","DEU","Germany","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3373","false","-1","N/A",,"false","3373","false",,"false","55296",,"55296","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","528","NLD","Netherlands","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120027","false","-1","N/A",,"false","120027","false",,"false","889900",,"889900","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","643","RUS","Russian Federation","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27032","false","-1","N/A",,"false","27032","false",,"false","54401",,"54401","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","826","GBR","United Kingdom","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25254","false","-1","N/A",,"false","25254","false",,"false","191237",,"191237","0","true","false",
"C","A","20070101","2007","52","2007","56","BEL","Belgium","M","Import","842","USA","USA","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2900","false","-1","N/A",,"false","2900","false",,"false","8697",,"8697","0","true","false",
"C","A","20070101","2007","52","2007","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17986.965","true","-1","N/A","0","false","17986.965","true","0","false","136611","135941","136611","6","false","true",
"C","A","20070101","2007","52","2007","68","BOL","Bolivia (Plurinational State of)","M","Import","152","CHL","Chile","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17969.059","true","-1","N/A","0","false","17969.059","true","17061","false","136475","135830","136475","6","false","true",
"C","A","20070101","2007","52","2007","68","BOL","Bolivia (Plurinational State of)","M","Import","842","USA","USA","0","W00","World","H3","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17.907","true","-1","N/A","0","false","17.907","true","0","false","136","111","136","6","false","true",
"C","A","20070101","2007","52","2007","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H2","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4000","false","-1","N/A",,"false","4000","false",,"false","41666",,"41666","0","true","false",
"C","A","20070101","2007","52","2007","70","BIH","Bosnia Herzegovina","M","Import","528","NLD","Netherlands","0","W00","World","H2","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4000","false","-1","N/A",,"false","4000","false",,"false","41666",,"41666","0","true","false",
"C","A","20070101","2007","52","2007","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H1","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","417","false","-1","N/A",,"false","417","false",,"false","2851",,"2851","0","false","false",
"C","A","20070101","2007","52","2007","72","BWA","Botswana","M","Import","710","ZAF","South Africa","0","W00","World","H1","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","417","false","-1","N/A",,"false","417","false",,"false","2851",,"2851","0","false","false",
