refYear,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qty,primaryValue
2020,USA,Export,United Arab Emirates,282520,Lithium oxide and hydroxide,6627,128543
2020,USA,Export,Egypt,282520,Lithium oxide and hydroxide,43545,494701
2020,USA,Export,United Kingdom,282520,Lithium oxide and hydroxide,7399,794882
2021,Australia,Export,China,282520,Lithium oxide and hydroxide,88210,88378.046
2021,Australia,Export,New Zealand,282520,Lithium oxide and hydroxide,1994,24342.255
2021,Brazil,Export,USA,282520,Lithium oxide and hydroxide,1000,29808
2021,Canada,Export,China,282520,Lithium oxide and hydroxide,43599,100454.039
2021,Canada,Export,France,282520,Lithium oxide and hydroxide,47573,109649.519
2021,Canada,Export,Switzerland,282520,Lithium oxide and hydroxide,15,35.091
2021,Chile,Export,Argentina,282520,Lithium oxide and hydroxide,147000,1545239
2021,Chile,Export,Belgium,282520,Lithium oxide and hydroxide,360000,3173149
2021,Chile,Export,China,282520,Lithium oxide and hydroxide,1476304,12841567
2021,Chile,Export,Colombia,282520,Lithium oxide and hydroxide,28000,291900
2021,Chile,Export,Japan,282520,Lithium oxide and hydroxide,792000,6657620
2021,Chile,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,7139036,58762435
2021,Chile,Export,Mexico,282520,Lithium oxide and hydroxide,140000,1349931
2021,Chile,Export,Peru,282520,Lithium oxide and hydroxide,60000,639708
2021,Chile,Export,South Africa,282520,Lithium oxide and hydroxide,60000,454189
2021,Chile,Export,USA,282520,Lithium oxide and hydroxide,1061979,9932198
2021,China,Export,Argentina,282520,Lithium oxide and hydroxide,5000,30652
2021,China,Export,Australia,282520,Lithium oxide and hydroxide,21150,488474
2021,China,Export,Bangladesh,282520,Lithium oxide and hydroxide,1750,39400
2021,China,Export,Canada,282520,Lithium oxide and hydroxide,38003,619445
2021,China,Export,Chile,282520,Lithium oxide and hydroxide,100,90
2021,China,Export,France,282520,Lithium oxide and hydroxide,114075,701548
2021,China,Export,Germany,282520,Lithium oxide and hydroxide,702,6056
2021,China,Export,Indonesia,282520,Lithium oxide and hydroxide,115000,714433
2021,China,Export,Iran,282520,Lithium oxide and hydroxide,5000,46667
2021,China,Export,Israel,282520,Lithium oxide and hydroxide,6,1407
2021,China,Export,Japan,282520,Lithium oxide and hydroxide,27742230,255078078
2021,China,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,43455739,482373245
2021,China,Export,Mexico,282520,Lithium oxide and hydroxide,11100,135520
2021,China,Export,"Other Asia, nes",282520,Lithium oxide and hydroxide,169901,2258778
2021,China,Export,Netherlands,282520,Lithium oxide and hydroxide,318000,2252004
2021,China,Export,New Zealand,282520,Lithium oxide and hydroxide,1000,8600
2021,China,Export,Pakistan,282520,Lithium oxide and hydroxide,5500,47860
2021,China,Export,Philippines,282520,Lithium oxide and hydroxide,38500,519113
2021,China,Export,Russian Federation,282520,Lithium oxide and hydroxide,40000,600000
2021,China,Export,Saudi Arabia,282520,Lithium oxide and hydroxide,41000,765824
2021,China,Export,India,282520,Lithium oxide and hydroxide,337175,3335761
2021,China,Export,Singapore,282520,Lithium oxide and hydroxide,454500,5401900
2021,China,Export,Viet Nam,282520,Lithium oxide and hydroxide,22125,193199
2021,China,Export,Spain,282520,Lithium oxide and hydroxide,14000,139315
2021,China,Export,Sweden,282520,Lithium oxide and hydroxide,72002,953743
2021,China,Export,Thailand,282520,Lithium oxide and hydroxide,241500,2755082
2021,China,Export,United Arab Emirates,282520,Lithium oxide and hydroxide,336000,3534896
2021,China,Export,T¨¹rkiye,282520,Lithium oxide and hydroxide,20000,156284
2021,China,Export,Egypt,282520,Lithium oxide and hydroxide,42000,471330
2021,China,Export,United Kingdom,282520,Lithium oxide and hydroxide,2008,17773
2021,China,Export,USA,282520,Lithium oxide and hydroxide,22977,226130
2021,USA,Export,Algeria,282520,Lithium oxide and hydroxide,2994,31434
2021,USA,Export,Argentina,282520,Lithium oxide and hydroxide,125300,1365916
2021,USA,Export,Australia,282520,Lithium oxide and hydroxide,191829,2077396
2021,USA,Export,Belgium,282520,Lithium oxide and hydroxide,778440,8295619
