typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","0.074","false",,"false","0","false",,"5412745.85","5412745.85","0","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19939738.088","true","8","kg","4737060.873","false","19939738.088","true","0","false",,"853570421.29","853570421.29","6","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","484","MEX","Mexico","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100762.288","true","8","kg","30000.07","false","100762.288","true","0","false",,"4136254.32","4136254.32","6","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","604","PER","Peru","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45537.278","true","8","kg","5000.025","false","45537.278","true","0","false",,"2171403.211","2171403.211","6","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","616","POL","Poland","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","242267.897","true","8","kg","198044.054","false","242267.897","true","0","false",,"7201222.89","7201222.89","6","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","710","ZAF","South Africa","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","128405.745","true","8","kg","60000.07","false","128405.745","true","0","false",,"5260195.18","5260195.18","6","true","false",
"C","A","20230101","2023","52","2023","152","CHL","Chile","X","Export","842","USA","USA","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","861023.849","true","8","kg","132500.642","false","861023.849","true","0","false",,"39881503.78","39881503.78","6","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","0","W00","World","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","130016590.021","true","8","kg","130016590","false","130016590.021","true","0","false",,"6217397984","6217397984","6","false","true",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","32","ARG","Argentina","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2000","false","8","kg","2000","false","2000","false","0","false",,"68906","68906","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","36","AUS","Australia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6511.021","true","8","kg","6511","false","6511.021","true","0","false",,"438443","438443","6","true","false",
